MOUS_ID,Source,Project,ALMA_Band,min_freq_GHz,max_freq_GHz,SiO_transitions,SiO_freqs_GHz,ang_res_arcsec
uid://A001/X122/X1ed,AS 209,2013.1.00226.S,6,217.06,217.11,J=5-4,217.10498,0.489
uid://A001/X122/X201,AS 209,2013.1.00226.S,6,260.47,260.53,J=6-5,260.5182,0.405
uid://A001/X2fe/X483,AS 209,2015.1.01137.S,8,476.6,478.58,J=11-10,477.50612,0.113
uid://A001/X2fb/Xbc8,GM Aur,2015.1.01207.S,6,216.24,217.17,J=5-4,217.10498,0.289
uid://A002/X413132/X4f,HD 163296,2011.0.00010.SV,6 7,216.15,347.46,"J=5-4, J=8-7","217.10498, 347.331",0.411
uid://A001/X122/X1f9,HD 163296,2013.1.00226.S,6,217.06,217.12,J=5-4,217.10498,0.482
uid://A001/X122/X20d,HD 163296,2013.1.00226.S,6,260.47,260.53,J=6-5,260.5182,0.47
uid://A001/X2fe/X579,HD 163296,2015.1.00023.S,6,217.04,217.16,J=5-4,217.10498,0.682
uid://A001/X2fe/X57b,HD 163296,2015.1.00023.S,6,217.04,217.16,J=5-4,217.10498,4.975
uid://A001/X2fe/Xc94,HD 163296,2015.1.00845.S,4,129.99,131.98,J=3-2,130.26861,0.754
uid://A001/X2fb/X75a,HD 163296,2015.1.00847.S,8,390.13,392.01,J=9-8,390.72873,0.197
uid://A001/X2fe/X48f,HD 163296,2015.1.01137.S,8,476.59,478.58,J=11-10,477.50612,0.65
uid://A001/X133d/X8e1,HD 163296,2018.1.00244.S,5,173.66,173.71,J=4-3,173.68831,0.187
uid://A001/X1465/X3024,HD 163296,2019.1.00419.S,6,217.0,218.99,J=5-4,217.10498,0.351
uid://A001/X1528/X313,HD 163296,2019.1.00419.S,6,217.06,218.93,J=5-4,217.10498,0.102
uid://A001/X361f/X19d,HD 163296,2022.A.00035.S,1,42.06,43.93,J=1-0,43.423864,0.213
uid://A001/X3621/X1f5d,HD 163296,2023.1.00901.S,8,477.02,477.96,J=11-10,477.50612,0.221
uid://A001/X3621/X1f61,HD 163296,2023.1.00901.S,8,476.99,477.99,J=11-10,477.50612,1.488
uid://A001/X122/X1e9,IM Lup,2013.1.00226.S,6,217.06,217.12,J=5-4,217.10498,0.461
uid://A001/X122/X1fd,IM Lup,2013.1.00226.S,6,260.48,260.54,J=6-5,260.5182,0.409
uid://A001/X122/X5de,IM Lup,2013.1.00798.S,6,216.9,218.89,J=5-4,217.10498,0.436
uid://A001/X2fe/X47f,IM Lup,2015.1.01137.S,8,476.6,478.58,J=11-10,477.50612,0.323
uid://A001/X3645/X22c,IM Lup,2023.1.01106.S,1,42.11,44.1,J=1-0,43.423864,1.001
uid://A001/X122/X1f1,MWC 480,2013.1.00226.S,6,217.07,217.14,J=5-4,217.10498,0.469
uid://A001/X122/X205,MWC 480,2013.1.00226.S,6,260.49,260.55,J=6-5,260.5182,0.487
uid://A001/X2f7/X1d7,MWC 480,2015.1.00657.S,7,302.05,303.93,J=7-6,303.92703,0.605
uid://A001/X879/X898,MWC 480,2016.1.00627.S,6,260.46,260.57,J=6-5,260.5182,0.502
uid://A001/X892/X4d,MWC 480,2016.1.01042.S,6,216.01,217.99,J=5-4,217.10498,0.142
uid://A001/X892/X4f,MWC 480,2016.1.01042.S,6,216.0,217.99,J=5-4,217.10498,0.568
uid://A001/X885/X1ec,MWC 480,2016.1.01164.S,6,217.0,218.99,J=5-4,217.10498,0.122
